realSum,room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,city,period
2.7876505469085995,Entire home/apt,4.0,False,1,0,9.0,85,1,0.0,0.5,amsterdam,weekdays
2.377167777191463,Private room,2.0,True,0,0,10.0,100,1,6.0,4.0,amsterdam,weekdays
2.633719501133942,Entire home/apt,2.0,False,0,0,10.0,95,1,3.0,1.0,amsterdam,weekdays
2.5415732779219495,Entire home/apt,3.0,False,0,1,6.0,75,2,4.5,0.5,amsterdam,weekdays
2.519065936924098,Entire home/apt,2.0,False,0,0,10.0,100,1,2.5,1.0,amsterdam,weekdays
3.0717600354810624,Entire home/apt,4.0,True,1,0,10.0,100,2,0.5,0.5,amsterdam,weekdays
2.413601951237398,Private room,2.0,True,1,0,10.0,100,1,5.0,0.5,amsterdam,weekdays
2.4439315132969623,Private room,2.0,True,0,0,10.0,95,1,4.0,2.5,amsterdam,weekdays
2.669354122969206,Entire home/apt,3.0,False,0,0,9.0,95,2,2.5,1.5,amsterdam,weekdays
2.7662205518052247,Entire home/apt,2.0,True,0,0,10.0,100,1,2.5,1.5,amsterdam,weekdays
2.573966806924643,Private room,4.0,False,0,1,6.0,90,1,1.0,0.5,amsterdam,weekdays
2.570970721476098,Private room,2.0,False,0,0,10.0,95,1,4.0,0.5,amsterdam,weekdays
2.680540136612079,Shared room,2.0,True,0,0,10.0,95,1,1.5,0.0,amsterdam,weekdays
2.6578723596570812,Entire home/apt,2.0,True,0,0,10.0,100,1,2.5,2.0,amsterdam,weekdays
2.314822732680766,Private room,2.0,False,0,0,9.0,95,1,7.0,2.5,amsterdam,weekdays
2.69700133667815,Private room,2.0,False,1,0,10.0,95,1,1.0,1.0,amsterdam,weekdays
2.601571207597235,Entire home/apt,2.0,True,0,0,10.0,95,1,9.5,0.5,amsterdam,weekdays
2.881863793764845,Private room,4.0,False,0,0,9.0,95,2,1.0,1.0,amsterdam,weekdays
2.5011446208663415,Private room,2.0,False,1,0,8.0,90,1,2.5,1.0,amsterdam,weekdays
2.504342680103392,Private room,2.0,False,0,0,10.0,95,1,0.5,0.5,amsterdam,weekdays
2.3202116786448417,Private room,2.0,True,1,0,10.0,95,1,4.5,3.5,amsterdam,weekdays
2.3202116786448417,Private room,2.0,True,1,0,10.0,100,1,4.5,3.5,amsterdam,weekdays
2.806486455961379,Entire home/apt,2.0,False,0,0,9.0,95,1,1.5,0.5,amsterdam,weekdays
2.3202116786448417,Private room,2.0,True,1,0,10.0,100,1,4.5,3.5,amsterdam,weekdays
2.9703841186331874,Private room,4.0,True,1,0,10.0,95,1,1.0,0.5,amsterdam,weekdays
2.3226392673128107,Private room,2.0,False,1,0,9.0,90,1,2.5,1.5,amsterdam,weekdays
2.3448188185667873,Private room,2.0,False,0,0,9.0,95,1,6.0,1.5,amsterdam,weekdays
2.644697144285383,Private room,2.0,False,1,0,10.0,90,1,1.0,0.5,amsterdam,weekdays
2.512549070006334,Private room,2.0,False,1,0,8.0,80,1,1.0,1.0,amsterdam,weekdays
2.899148822056699,Entire home/apt,4.0,False,0,0,10.0,95,2,6.0,2.0,amsterdam,weekdays
